participant,age,country,gender,ParentsEdu,income,nativelanguage,lingualAbility,ethnicity_value,major_relabel,acc_typing,n_wrong,inhibition_numerical,n_fluency,median_typing,average_ds,mean_vpt,automatic_Stroop,distance_effect_large,distance_effect_intermediate,inhibition_size,n_correct,interference_effect,size_effect,distraction_effect
697608015709,24.426161006857303,Malaysia,Male,No,"RM 8,700 - RM 10,959",Mandarin,Yes,Chinese,NA,100,0,-1.6996047430883898e-5,38,1.65185,8.5,7.333333333333333,-1.6996047430883898e-5,-0.10762916666666666,-0.07215416666666663,-0.00673152173913038,280,0.4311402837313738,0.2899528985507247,0.15632785714285724
771719516720,19.51008345146652,Malaysia,Female,"Yes, both parents","RM 15,039 or more",Mandarin,Yes,Chinese,Biomedical,100,1,0.01242499999999996,46,1.14885,6.5,10,0.01242499999999996,-0.05083333333333334,-0.01098750000000003,0.05227536231884061,279,0.4924857965056526,0.33597359198355603,0.138286540240518
798938289447,20.320426682225516,Malaysia,Female,"Yes, both parents","RM 10,960 - RM 15,039",Mandarin,Yes,Chinese,Engineering,98.38709677419357,5,0.07417038043478263,44,1.247,8.5,10,0.07417038043478263,-0.02595197368421054,-0.00387947368421048,0.00488068181818185,251,0.1319041349085366,0.09817994662600082,0.0924763682539682
822385097411,20.339522953171343,Malaysia,Female,"Yes, both parents","RM 10,960 - RM 15,039",English,Yes,Chinese,Psychology,98.38709677419357,2,0.12173188405797096,54,1.2659,8.5,9.666666666666666,0.12173188405797096,-0.01666630434782612,0.03955036231884057,-0.00925416666666667,266,0.10651546426752669,0.11815338345864657,0.12091288732793291
8233,20.471057588314697,Malaysia,Male,"Yes, both parents","RM 5,880 - RM 7,099",Mandarin,Yes,Chinese,Psychology,100,4,0.09874782608695654,35,1.19575,6,10,0.09874782608695654,-0.07695670289855072,0.05480434782608701,0.1267791666666666,275,0.5424465883846397,0.307863975878121,0.3069846341205127
8242,20.833883442815676,Malaysia,Female,"Yes, both parents","RM 7,110 - RM 8,699",Mandarin,Yes,Chinese,Psychology,100,1,0.09964166666666664,50,1.3571,7,9.666666666666666,0.09964166666666664,-0.10632981366459632,-0.02543831168831167,0.09302965367965366,255,0.20019858461538464,0.15114756923076922,0.2066062915538044
8251,20.333405281485287,Malaysia,Female,"Yes, mother only","RM 8,700 - RM 10,959",Cantonese,Yes,Chinese,Psychology,98.38709677419357,4,0.04254345238095236,50,1.0498,7,10,0.04254345238095236,-0.09190316205533589,-0.04622924901185765,0.03192651515151512,274,0.25157687553282193,0.1854332054560955,0.16484245202558634
838440669607,21.54006546581489,Malaysia,Female,"Yes, mother only","RM 15,039 or more",English,Yes,Chinese,Psychology,100,6,0.08532836438923397,17,1.45785,6.5,9.666666666666666,0.08532836438923397,-0.17208750000000006,-0.08031500000000003,0.10126309523809518,225,0.7468195546558707,0.26189637496007667,0.4926543197061643
848199286335,21.798857311931197,Malaysia,Male,"Yes, mother only","RM 4,850 - RM 5,879",Mandarin,Yes,Chinese,Computer_sc,100,2,0.09200000000000008,27,1.58995,7.5,9.666666666666666,0.09200000000000008,-0.20977137681159408,-0.12782499999999986,0.08546439393939387,275,0.8825908008887009,0.6221523234889381,0.24336084656084633
8485,19.24889371454103,Malaysia,Female,No,"RM 8,700 - RM 10,959",Mandarin,Yes,Chinese,Psychology,100,2,0.03754999999999997,21,1.4655,5,7.333333333333333,0.03754999999999997,-0.233367028985507,0.04404166666666698,0.06315706521739128,254,2.222485248138957,1.684927022332506,0.6546920392449085
8488,19.974517143413944,Malaysia,Female,"Yes, both parents","RM 7,110 - RM 8,699",Mandarin,Yes,Chinese,Psychology,96.7741935483871,5,0.04431938405797109,37,1.25675,6,9.333333333333334,0.04431938405797109,-0.05600507246376807,0.00804347826086959,0.01123446969696972,278,0.32380103600103594,0.17418540372670788,0.20170752654752655
8497,20.182772140593713,Malaysia,Male,"Yes, both parents","RM 15,039 or more",Bahasa Malaysia (Northern/Central/Southern accent),Yes,Malay,Psychology,98.38709677419357,3,0.2806570707070707,16,1.1833,6.5,8.333333333333334,0.2806570707070707,-0.14921168831168818,-0.2387071428571428,0.04599523809523809,199,0.8314703199174409,0.3981174594931449,0.09712776760276798
8506,21.144096100083654,Malaysia,Male,"Yes, father only","RM 15,039 or more",Mandarin,Yes,Chinese,Psychology,100,3,0.05248928571428579,50,1.2182499999999998,8.5,9.666666666666666,0.05248928571428579,-0.10483913043478266,-0.07416185770750983,-0.01431865942028981,269,0.1680693277310925,0.149956844316674,0.2137322439725724
8509,17.877383400480397,Malaysia,Male,"Yes, both parents","RM 5,880 - RM 7,099",English,Yes,Chinese,Psychology,93.5483870967742,1,0.10240059288537552,48,1.4926,5.5,6.333333333333333,0.10240059288537552,-0.08641449275362323,-0.2189416666666667,0.22565672877846787,258,0.07164350961538468,-5.289234838011803e-4,0.11739044471153837
8515,20.229738657280656,Malaysia,Female,No,"RM 5,880 - RM 7,099",Mandarin,Yes,Chinese,Psychology,100,1,0.03920075757575747,43,1.1995,9,10,0.03920075757575747,-0.03947644927536231,-0.02978260869565208,0.02045289855072463,282,0.25145191146881285,0.1321631205673759,0.24841843971631197
8533,20.929758763435743,Malaysia,Female,"Yes, father only","RM 7,110 - RM 8,699",Mandarin,Yes,Chinese,Psychology,100,1,0.0358811594202898,42,1.34865,6.5,8.666666666666666,0.0358811594202898,-0.09753333333333336,-0.02683484848484851,0.04971666666666663,265,0.17093237475750334,0.16039194910418808,0.18797871637026908
857677498017,21.91360371267143,Malaysia,Male,"Yes, both parents","RM 7,110 - RM 8,699",Mandarin,Yes,Chinese,Engineering,98.38709677419357,2,0.11549754901960783,51,1.1168,5,10,0.11549754901960783,-0.05713937198067631,-0.05274968944099378,0.02376666666666665,101,0.6250904705882353,0.6064384615384614,-0.5182078577336642
8596,18.362014072774866,Malaysia,Female,"Yes, both parents","RM 15,039 or more",Bahasa Malaysia (Northern/Central/Southern accent),Yes,Malay,Psychology,98.38709677419357,1,0.05543602941176462,21,2.0995,5,9.666666666666666,0.05543602941176462,0.5194590909090908,-0.31775367965367973,-0.39935946969696945,275,0.21850915582354813,0.2628189417989417,0.03129487464297065
8644,19.528322618133195,Malaysia,Female,"Yes, both parents","RM 15,039 or more",Others,Yes,Indian,Psychology,96.7741935483871,3,0.03671666666666662,27,1.482,5,7.333333333333333,0.03671666666666662,-0.03442529644268777,-0.03272964426877467,0.12015504385964916,239,0.327792392982456,0.5556484234234236,0.420709642454955
8665,20.03495883993079,Malaysia,Non-binary/ third gender,"Yes, both parents","RM 4,850 - RM 5,879",Bahasa Malaysia (Northern/Central/Southern accent),Yes,Malay,Psychology,96.7741935483871,1,0.13610151515151514,24,1.4590999999999998,6,8.333333333333334,0.13610151515151514,-0.08813260869565209,-0.0798962450592885,-0.00771250000000001,275,1.5397641274385072,1.000375,0.5170727513227513
8668,18.830185559579945,Malaysia,Male,"Yes, both parents","RM 10,960 - RM 15,039",Others,Yes,Indonesian,Psychology,93.5483870967742,8,0.08807321428571435,33,1.3138999999999998,8,9.333333333333334,0.08807321428571435,-0.05536630434782608,-0.02512045454545453,0.09552559523809524,225,0.4127358704261048,0.30376286665609653,0.3694986266368572
8761,19.043414176046344,Malaysia,Female,NA,"Less than RM 2,500",Mandarin,Yes,Chinese,Psychology,100,5,-0.14537499999999998,35,1.3325,5.5,9.666666666666666,-0.14537499999999998,-0.1104705882352941,0.0896544117647059,0.11187499999999996,249,0.26168933419521645,0.27632595182595177,0.26280804493801657
8767,19.35313557038558,Malaysia,Female,"Yes, both parents","RM 15,039 or more",Bahasa Malaysia (Northern/Central/Southern accent),Yes,Malay,Psychology,98.38709677419357,1,-0.03429166666666672,28,1.084,6.5,7.333333333333333,-0.03429166666666672,-0.07778985507246383,-0.07660869565217399,0.09489492753623184,277,1.7656967042136005,1.5924227158948685,0.1890604842918275
8791,18.74239672836337,Malaysia,Female,"Yes, father only","RM 10,960 - RM 15,039",English,Yes,Chinese,Psychology,98.38709677419357,3,0.05543560606060604,32,1.3492,6.5,6.333333333333333,0.05543560606060604,-0.05603858695652175,0.01215217391304346,0.05473749999999999,281,1.6749630965650015,0.68748399533894,0.4732028681463465
8800,19.199366690939744,Malaysia,Female,NA,"RM 15,039 or more",Mandarin,Yes,Chinese,Psychology,95.16129032258064,1,0.05717192037137675,29,1.2486,8.5,7.333333333333333,0.05717192037137675,-0.05575942032971015,0.0062030796286232,0.09743750004166668,281,0.9354419604717326,0.9057127040071956,0.7399134664800893
8803,18.22004627465333,Malaysia,Male,"Yes, both parents","RM 10,960 - RM 15,039",English,No,Chinese,Psychology,98.38709677419357,3,0.0885690217391304,49,0.9817,6,10,0.0885690217391304,-0.02639547101449274,-0.01268297101449272,0.07287083333333333,281,0.2926433029381966,0.3517269936163746,0.30522916708886416
8812,19.180598961422916,Malaysia,Female,"Yes, both parents","RM 8,700 - RM 10,959",Mandarin,Yes,Chinese,Psychology,100,2,0.06218786231884066,44,1.47415,6.5,8.333333333333334,0.06218786231884066,-0.09803825757575756,-0.07708409090909085,0.04974166666666674,265,0.1523939666970804,0.08792933766529865,0.13213849396217825
8815,19.09841578348797,Malaysia,Female,"Yes, both parents","RM 10,960 - RM 15,039",English,Yes,Chinese,Psychology,98.38709677419357,2,0.03349920948616602,43,1.1649,7.5,9.666666666666666,0.03349920948616602,-0.06320415019762848,0.00258280632411067,0.03844166666666665,264,0.2509904761904762,0.2766809184845005,0.27995427323409383
8824,18.936629469699845,Malaysia,Female,"Yes, father only","RM 3,970 - RM 4,849",Mandarin,Yes,Chinese,Psychology,100,4,0.15687083333333335,29,1.2321,9,10,0.15687083333333335,-0.03446249999999995,-0.08667499999999995,0.07378333333333331,274,0.5515953691848059,0.6297717612576605,0.31836354033290637
8827,19.281758413028875,Malaysia,Female,"Yes, father only","RM 15,039 or more",Mandarin,Yes,Chinese,Psychology,98.38709677419357,3,-0.01724347826086958,28,1.5162,7,8.333333333333334,-0.01724347826086958,-0.01001047430830037,0.04097575757575755,0.11507518115942034,281,1.186885125139325,1.650056630170316,0.5353439152903032
8833,19.13095328599133,Malaysia,Male,"Yes, father only","RM 5,880 - RM 7,099",Mandarin,Yes,Chinese,Psychology,98.38709677419357,1,0.06350583333333337,43,1.2491,7,10,0.06350583333333337,-0.05189039855072464,-0.03974851258581236,0.02779365942028988,278,0.5426417266187051,0.475070807453416,0.07694146088937215
8842,18.74856574203996,Malaysia,NA,NA,NA,NA,NA,NA,NA,98.38709677419357,6,0.136,37,1.316,7.5,9.666666666666666,0.136,-0.09397727272727274,-0.05394466403162046,0.1375851449275362,263,0.17998207240659103,0.14622440944881898,0.16140580129689663
8845,20.37746825141963,Malaysia,Female,No,"RM 7,110 - RM 8,699",Mandarin,Yes,Chinese,Psychology,100,1,2.3943041666666667,43,1.3368,8,10,2.3943041666666667,-0.16311952380952377,-0.21307285714285729,0.2495791666666668,279,0.27370838132455777,0.2406778297522361,0.15065608615194814
8857,17.739999293165514,Malaysia,Female,"Yes, mother only","RM 15,039 or more",English,Yes,Chinese,Psychology,98.38709677419357,4,0.05969204545454554,40,1.2361,8,9.666666666666666,0.05969204545454554,-0.06136322463768107,-0.07975217391304346,0.05715916666666676,267,0.42595893017512343,0.2502582996632998,0.23641354295339712
8863,19.43293571621416,Malaysia,Female,"Yes, both parents","RM 5,880 - RM 7,099",Mandarin,Yes,Chinese,Psychology,98.38709677419357,1,0.4320208333333335,31,1.8659,6.5,10,0.4320208333333335,-0.1282791666666665,-0.5676666666666665,-0.09491250000000008,285,0.5232529547916871,0.2764382941002661,0.3228365839243499
8875,18.67148182605775,Malaysia,Female,"Yes, both parents","RM 15,039 or more",Bahasa Malaysia (Northern/Central/Southern accent),Yes,Malay,Psychology,100,3,-0.02585000000000004,22,1.3846500000000002,6.5,7.333333333333333,-0.02585000000000004,-0.0953624999999999,-0.01114999999999999,0.12372499999999996,267,1.9650536047164513,1.8220053937007872,0.3217737403209515
8896,21.250111067730124,Malaysia,NA,NA,NA,NA,NA,NA,NA,83.87096774193549,4,0.06301403162055341,35,1.575,6.5,9.333333333333334,0.06301403162055341,-0.05224545454545459,-0.00102402597402595,0.0909507575757576,256,0.25377889807162524,0.291291086623814,0.31671860465116286
8917,19.640385428549703,Malaysia,Female,"Yes, both parents","RM 15,039 or more",Bahasa Malaysia (Northern/Central/Southern accent),Yes,Malay,Psychology,96.7741935483871,1,0.01713605072463764,38,1.401,7.5,9.666666666666666,0.01713605072463764,-0.00607481884057969,-0.03828260869565214,0.03188097826086955,273,0.5065666344605473,0.3630348969514814,0.30694692431562
8926,20.083715873957463,Malaysia,NA,NA,NA,NA,NA,NA,NA,91.93548387096774,4,0.02189962121212119,28,1.6664,5.5,9.333333333333334,0.02189962121212119,-0.02517282608695659,0.00977826086956523,0.05522840909090903,264,0.3665271599264708,0.45102349352518,0.23986962112514343
8929,20.095981523309757,Malaysia,Male,"Yes, both parents","RM 15,039 or more",English,Yes,Chinese,Psychology,98.38709677419357,1,0.04594692028985503,39,1.7268,6.5,10,0.04594692028985503,-0.01313224637681165,-0.01429565217391315,0.08231249999999996,281,0.17874032928064842,0.2668724316109423,0.28355589159067884
