participant,group,dob,age,Nationality,lang_mult,date,frameRate
19506,BCA,2004-01-21,20.03448203887494,UK,English,2024-02-02T14:16:10Z,59.52380952
19521,BCA,2002-10-13,21.326924037379264,UK,English,2024-02-09T15:48:58Z,72.99270073
19525,CAB,2004-03-27,19.873558131702033,UK,English,2024-02-09T19:36:38Z,59.88023952
19533,CBA,2004-03-31,19.86214889887064,UK,English,2024-02-09T15:35:50Z,58.47953216
19542,ACB,2004-02-05,19.996537029273455,UK,English,2024-02-03T17:38:36Z,58.47953216
19543,CAB,2004-02-03,20.015010376074226,UK,English,2024-02-08T11:34:51Z,60.60606061
19550,BCA,2004-01-16,20.06566563186047,UK,English,2024-02-08T23:37:29Z,59.88023952
19617,ABC,1999-12-06,24.214958534521,UK,English,2024-02-22T12:19:35Z,76.92307692
19641,BAC,2003-08-12,20.51651800916419,UK,English,2024-02-16T15:47:48Z,60.24096386
19694,CAB,2002-08-16,21.46891661850077,UK,English,2024-02-03T12:31:23Z,58.82352941
19726,CBA,2004-03-31,19.8792551550815,UK,English,2024-02-15T21:33:02Z,59.88023952
19757,ABC,1996-06-01,27.73065158716125,UK,English,2024-02-23T14:53:30Z,60.0240096
19760,CBA,2003-09-04,20.426980213450957,UK,English,2024-02-06T22:54:30Z,59.88023952
19767,CBA,2003-07-31,20.51136775661014,UK,English,2024-02-02T18:38:59Z,60.06006006
19769,BCA,2005-02-03,19.04687087877405,UK,English,2024-02-20T20:52:12Z,60.60606061
19777,CAB,2005-08-08,18.512653782385225,UK,English,2024-02-11T17:55:23Z,40
19779,ACB,2004-10-16,19.336901693601547,UK,English,2024-02-16T19:16:48Z,58.82352941
19790,ACB,2005-04-21,18.835783284153415,UK,English,2024-02-20T18:28:34Z,60.60606061
19800,CBA,2005-04-17,18.83257148769235,UK,English,2024-02-15T14:19:17Z,56.81818182
19803,BAC,2004-11-19,19.260046913231673,UK,English,2024-02-22T17:34:16Z,59.52380952
19808,BCA,2004-12-07,19.16367589129085,UK,English,2024-02-05T12:46:58Z,59.88023952
19814,ABC,2005-06-13,18.654374239897837,UK,English,2024-02-07T12:14:40Z,58.82352941
19815,CAB,2005-04-12,18.810533600685734,UK,English,2024-02-02T13:08:15Z,59.88023952
19817,ABC,2004-12-10,19.181425291688843,UK,English,2024-02-15T00:22:26Z,30.03003003
19818,BCA,2003-03-06,20.94468049145056,UK,English,2024-02-14T01:04:09Z,29.41176471
19821,CAB,2005-08-31,18.45009297104342,UK,English,2024-02-11T21:30:53Z,30.12048193
19826,CAB,2005-06-05,18.67629448085406,UK,English,2024-02-07T12:23:50Z,60.24096386
19829,BAC,2005-05-19,18.717658904954746,UK,English,2024-02-05T14:59:52Z,59.88023952
19833,ACB,2005-05-23,18.706654228838698,UK,English,2024-02-05T14:31:51Z,30.03003003
19835,CAB,2005-03-20,18.922922995031307,UK,English,2024-02-20T14:20:34Z,59.88023952
19844,CBA,2005-02-26,18.954115012041473,UK,English,2024-02-09T23:46:19Z,59.88023952
19854,CAB,2005-04-07,18.84682660043856,UK,English,2024-02-10T19:16:55Z,59.88023952
19865,CAB,2005-03-21,18.905689739967556,UK,English,2024-02-15T07:16:34Z,59.52380952
19873,BAC,2005-03-17,18.86051900087459,UK,English,2024-01-25T19:18:34Z,38.46153846
19882,ACB,2005-07-09,18.57773964731158,UK,English,2024-02-05T12:27:56Z,59.52380952
19884,ABC,2004-09-29,19.344206502142114,UK,English,2024-02-02T11:18:51Z,62.5
19890,ACB,2005-01-15,19.048619345672673,UK,English,2024-02-02T12:11:49Z,30.3030303
19901,CBA,2005-07-11,18.589329759455723,UK,English,2024-02-11T18:03:52Z,59.17159763
19912,BAC,2004-05-29,19.70392575075417,UK,English,2024-02-10T20:36:47Z,57.47126437
19924,BAC,2004-12-31,19.11427011062311,UK,English,2024-02-11T11:41:30Z,60.0024001
19928,BCA,2004-04-17,19.820074682833926,UK,English,2024-02-11T06:46:28Z,60.0240096
19938,CBA,2003-10-07,20.34940708412554,UK,English,2024-02-11T14:54:08Z,60.0024001
19946,ABC,2004-11-06,19.248534846312776,UK,English,2024-02-05T12:39:23Z,59.88023952
19951,BCA,2004-05-13,19.774410986355115,UK,English,2024-02-20T14:29:12Z,59.88023952
19961,BCA,2005-01-13,19.06811799791493,UK,English,2024-02-07T15:07:20Z,59.52380952
19966,CAB,2005-06-20,18.62159060695363,UK,English,2024-02-02T12:51:47Z,60.0024001
19975,BCA,2002-04-14,21.83565874641924,UK,English,2024-02-13T11:23:04Z,62.5
19984,ACB,2005-06-26,18.602052477057825,UK,English,2024-02-01T09:35:31Z,58.82352941
19990,BCA,2003-09-15,20.393183275977893,UK,English,2024-02-05T14:38:40Z,62.5
19992,ACB,2005-06-17,18.630129444539513,UK,English,2024-02-02T15:42:52Z,59.88023952
20012,CAB,2002-08-12,21.48360838900931,UK,English,2024-02-04T21:18:40Z,59.52380952
20024,ABC,2005-05-18,18.770520500925294,UK,English,2024-02-23T22:22:57Z,60.24096386
20046,BCA,2003-10-27,20.299380022466853,UK,English,2024-02-13T08:21:54Z,59.88023952
20055,CBA,2005-01-19,19.062508438157533,UK,English,2024-02-11T13:56:56Z,59.88023952
20067,BCA,2005-08-02,18.517594465105077,UK,English,2024-02-07T13:13:59Z,30.03003003
20073,ABC,2002-07-27,21.571185260222574,UK,English,2024-02-20T21:00:35Z,58.82352941
20084,CBA,2004-12-01,19.15580164587928,UK,English,2024-01-27T15:45:26Z,59.88023952
20231,ABC,2001-10-19,22.312626599678055,UK,English,2024-02-10T16:29:05Z,59.88023952
