participant,group,n_typing,median_typing,mean_typing,acc_typing,error_rate_typing,n_fluency,n_wrong,acc_fluency,composite_fluency,median_fluency,mean_fluency,max_egner,mean_egner,max_wais,mean_wais,max_vpt,mean_vpt,mean_rt__P_0,mean_rt__P_1,mean_rt__P_2,mean_rt__P_5,acc__P_0,acc__P_1,acc__P_2,acc__P_5,mean_rt__P_congruent,mean_rt__P_incongruent,mean_rt__P_neutral,acc__P_congruent,acc__P_incongruent,acc__P_neutral,mean_rt__M_1,mean_rt__M_2,mean_rt__M_5,acc__M_1,acc__M_2,acc__M_5,mean_rt__M_congruent,mean_rt__M_incongruent,mean_rt__M_neutral,acc__M_congruent,acc__M_incongruent,acc__M_neutral,n_trial_correct,n_trial_lure,mean_rt_correct,mean_rt_lure,acc_veri,veri_performance,dob,age,Nationality,lang_mult,date,frameRate,nationality,gender,maritalstatus,eduLevel,ParentsEdu,income,employment,major,handedness,Medicalhistory,developmentHist,nativelanguage,lingualAbility,multilingual_1,multilingual_1_TEXT,multilingual_2,multilingual_2_TEXT,multilingual_3,multilingual_3_TEXT,multilingual_4,multilingual_4_TEXT,multilingual_5,multilingual_5_TEXT,multilingual_6,multilingual_6_TEXT,mathlanguage_1,multiplylanguage,schooltype_1,difficultiesmath,learnmultiplytable,peercomparison,peercomparison2,rateownfluency_1,dyslexia,mathanxious,examanxious,memory,ethnicity_value,major_relabel,country,avg_digitspan
19125,BAC,61,1.4598,1.5985295081967212,98.38709677419357,0.01612903225806452,24,1,40,39.166666666666664,2.8042499999999997,3.4396666666666667,5,4.666666666666667,6,5.666666666666667,9,8.333333333333334,0.6473458333333333,0.62604,0.6715,0.6386333333333334,100,93.75,93.75,93.75,0.6075375,0.6886523809523809,0.6473458333333333,100,87.5,100,0.9005130434782609,0.7193541666666666,0.7081333333333334,95.83333333333334,100,100,0.7789916666666666,0.8213913043478261,0.7243208333333333,100,95.83333333333334,100,140,135,2.079102142857143,2.6186177777777777,95.48611111111111,0.5395156349206349,2003-03-31,20.861359311196033,UK,English,2024-02-08T14:40:32Z,59.88023952,UK,Female,Single (never married),Some University but no degree,"Yes, father only","40,000-59,999 pounds",Employed part time (up to 39 hours per week),Psychology,Right,Yes,No,English,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,State,No,Yes,Yes,No,5,No,Yes,Yes,No,Mixed two or more ethnic groups,Psychology,UK,5.5
19127,BAC,61,2.3494,2.385777049180328,98.38709677419357,0.01612903225806452,33,1,55.00000000000001,54.166666666666664,2.582,2.6526666666666667,6,5.333333333333333,5,4.666666666666667,9,8.333333333333334,0.7870173913043478,0.83419375,0.8506533333333334,0.95335,95.83333333333334,100,93.75,100,0.7251583333333333,1.0415956521739131,0.7870173913043478,100,95.83333333333334,95.83333333333334,0.9628045454545454,0.8763521739130434,0.7874125,91.66666666666666,95.83333333333334,100,0.7314333333333334,1.021342857142857,0.8847125,100,87.5,100,142,140,1.0597169014084509,1.1316478571428572,97.91666666666666,0.07193095573440655,2004-01-07,20.08744192153396,UK,English,2024-02-07T22:30:57Z,59.88023952,UK,Female,Single (never married),Some University but no degree,No,"40,000-59,999 pounds",Student,psychology,Right,Yes,No,English,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,State,No,Yes,No,No,9.5,No,No,Yes,No,White,Psychology,UK,5.5
19135,BCA,60,1.2841,1.2952816666666669,96.7741935483871,0.03225806451612905,22,4,36.666666666666664,33.33333333333333,3.3766,3.560690909090909,6,5,3,2.6666666666666665,8,7.333333333333333,0.6090875,0.5977875,0.5860375,0.608225,100,100,100,100,0.5948666666666667,0.5998333333333333,0.6090875,100,100,100,0.7666708333333333,0.770675,0.7807583333333333,100,100,100,0.7353708333333333,0.8141625,0.7685708333333333,100,100,100,141,140,1.833972340425532,2.081117857142857,97.56944444444444,0.2471455167173251,2003-09-23,20.374584468812586,UK,English,2024-02-06T19:36:26Z,59.52380952,UK,Female,Single (never married),Some University but no degree,No,"Less than 20,000 pounds",Student,Psychology,Right,No,No,English,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,State,No,Yes,No,No,9,No,No,Yes,Yes,Mixed two or more ethnic groups,Psychology,UK,4.5
19136,ABC,61,1.1434,1.2048049180327869,98.38709677419357,0.01612903225806452,39,4,65,61.66666666666667,1.7426,1.950907692307692,NA,NA,NA,NA,10,9.666666666666666,0.4496217391304348,0.46833125,0.42921333333333334,0.45820666666666665,95.83333333333334,100,93.75,93.75,0.4159291666666667,0.4919227272727273,0.4496217391304348,100,91.66666666666666,95.83333333333334,0.5525458333333333,0.5144333333333333,0.4791625,100,100,100,0.4803875,0.565025,0.5007291666666667,100,100,100,136,137,1.051927205882353,1.3566,94.79166666666666,0.30467279411764703,2001-09-27,22.266425887456585,UK,English,2024-01-02T19:29:21Z,120.4819277,UK,Female,Single (never married),Some University but no degree,"Yes, both parents","20,000-39,999 pounds",Student,Psychology,Right,Yes,No,English,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,Public,No,Yes,Yes,No,7.5,No,Yes,Yes,Yes,White,Psychology,UK,NA
19137,BAC,57,1.654,1.8895087719298245,91.93548387096774,0.08064516129032258,19,3,31.666666666666664,29.166666666666668,3.432,3.780473684210526,5,4.333333333333333,5,4,7,6.333333333333333,0.51735,0.4784,0.5378333333333333,0.48433333333333334,83.33333333333334,93.75,75,75,0.5111052631578947,0.48655,0.51735,79.16666666666666,83.33333333333334,83.33333333333334,0.6206315789473684,0.6166111111111111,0.5572608695652174,79.16666666666666,75,95.83333333333334,0.5290952380952381,0.5826315789473684,0.67635,87.5,79.16666666666666,83.33333333333334,108,124,1.840111111111111,2.229290322580645,80.55555555555556,0.3891792114695341,2004-05-18,19.727575345558595,UK,English,2024-02-08T11:55:31Z,13.33333333,UK,Female,Single (never married),Some University but no degree,"Yes, both parents","60,000-99,999 pounds",Employed part time (up to 39 hours per week),Psychology,Right,No,No,English,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,Public,No,Yes,Yes,No,9.5,No,No,Yes,No,White,Psychology,UK,5
19140,CAB,61,1.5314,1.5913393442622952,98.38709677419357,0.01612903225806452,19,3,31.666666666666664,29.166666666666668,3.3549,3.3946894736842106,3,2.6666666666666665,5,4.333333333333333,7,6.333333333333333,0.5564041666666667,0.53939375,0.48099375,0.5965625,100,100,100,100,0.4877416666666667,0.590225,0.5564041666666667,100,100,100,0.842195652173913,0.9720043478260868,0.7333583333333333,95.83333333333334,95.83333333333334,100,0.9113333333333332,0.8650739130434782,0.7634130434782609,100,95.83333333333334,95.83333333333334,125,132,4.0248616,5.170116666666667,89.23611111111111,1.1452550666666663,2002-08-10,21.52144300662915,UK,English,2024-02-16T16:58:09Z,59.88023952,UK,Female,"Married, or in a domestic partnership",Some University but no degree,No,"20,000-39,999 pounds",Student,psychology,Left,No,No,English,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,State,Yes,Yes,No,Yes,4.5,No,Yes,Yes,Yes,White,Psychology,UK,4
19146,CBA,58,1.34905,1.358646551724138,93.5483870967742,0.0645161290322581,15,5,25,20.833333333333336,1.8408,2.72644,6,5.333333333333333,6,5.666666666666667,9,8.333333333333334,0.6139173913043479,0.6914,0.6530333333333334,0.7112375,95.83333333333334,100,93.75,100,0.7214083333333333,0.6488652173913043,0.6139173913043479,100,95.83333333333334,95.83333333333334,0.9806708333333332,0.886975,0.8700666666666667,100,100,100,0.8104625,0.9261541666666668,1.0010958333333333,100,100,100,125,119,2.4966176,2.8220521008403363,84.72222222222221,0.3254345008403363,2004-07-19,19.549816411862757,UK,English,2024-02-05T13:41:26Z,60.24096386,UK,Female,Single (never married),Some University but no degree,"Yes, father only","Less than 20,000 pounds",Student,Psychology,Right,No,No,English,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,State,Yes,Yes,No,Yes,8.5,No,Yes,Yes,Yes,White,Psychology,UK,6
19152,ACB,62,1.3322500000000002,1.7357387096774193,100,0,22,4,36.666666666666664,33.33333333333333,2.9089,3.113481818181818,8,7.666666666666667,6,5.666666666666667,8,8,0.5813916666666666,0.5891733333333333,0.64840625,0.69265,100,93.75,100,100,0.6054833333333334,0.6853434782608696,0.5813916666666666,100,95.83333333333334,100,0.695425,0.6982458333333333,0.6552625,100,100,100,0.6394916666666667,0.7502625,0.6591791666666666,100,100,100,136,125,2.2611867647058825,2.895896,90.625,0.6347092352941175,2004-01-17,20.04846444358887,UK,English,2024-02-03T16:50:21Z,60.24096386,UK,Female,Single (never married),Some University but no degree,NA,"20,000-39,999 pounds",Student,Psychology,Right,No,No,English,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,Faith,No,Yes,No,Yes,7,No,No,Yes,No,White,Psychology,UK,7
19164,BAC,62,1.41065,1.4456064516129032,100,0,20,5,33.33333333333333,29.166666666666668,3.1276,3.314685,6,5,6,5.333333333333333,6,5.333333333333333,0.5839083333333334,0.5836933333333333,0.61281875,0.68296875,100,93.75,100,100,0.6708166666666666,0.582104347826087,0.5839083333333334,100,95.83333333333334,100,1.1676708333333334,1.04575,0.9057916666666668,100,100,100,1.01505,1.0744083333333334,1.0297541666666667,100,100,100,135,120,1.9182940740740744,2.44156,88.54166666666666,0.5232659259259258,2003-02-10,21.01431472874997,UK,English,2024-02-15T11:28:58Z,58.47953216,UK,Female,Single (never married),Some University but no degree,"Yes, both parents","60,000-99,999 pounds",Student,Psychology,Right,No,No,English,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,Faith,No,Yes,No,No,7,No,Yes,Yes,Yes,White,Psychology,UK,6
19178,BAC,59,1.3982,1.4320050847457626,95.16129032258064,0.04838709677419356,30,4,50,46.666666666666664,2.5328,2.6188066666666665,6,5.666666666666667,6,5.333333333333333,10,10,0.5174166666666666,0.5894375000000001,0.604,0.5329375,100,100,100,100,0.5696708333333333,0.5812458333333334,0.5174166666666666,100,100,100,0.7008,0.7067875,0.5887333333333333,100,100,100,0.603075,0.7600791666666666,0.6331666666666667,100,100,100,141,133,1.842068085106383,2.4388586466165414,95.13888888888889,0.5967905615101583,2002-11-29,21.228088189120843,UK,English,2024-02-20T13:25:15Z,61.34969325,UK,Female,Single (never married),Vocational or Similar,No,"20,000-39,999 pounds",Student,Psychology,Right,No,No,English,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,State,No,Yes,No,No,8,No,No,Yes,No,Mixed two or more ethnic groups,Psychology,UK,6
19179,CAB,60,1.4685,1.4856833333333332,96.7741935483871,0.03225806451612904,28,2,46.666666666666664,45,2.2975000000000003,2.9596785714285714,7,6.666666666666667,8,7.333333333333333,10,9.333333333333334,0.5876250000000001,0.5755625,0.5791875,0.6218666666666667,100,100,100,93.75,0.5732608695652174,0.609125,0.5876250000000001,95.83333333333334,100,100,0.726909090909091,0.6272916666666667,0.6085,91.66666666666666,100,100,0.646625,0.6781739130434783,0.6319130434782608,100,95.83333333333334,95.83333333333334,139,125,1.418431654676259,1.983336,91.66666666666666,0.564904345323741,2004-03-24,19.87055197556215,UK,English,2024-02-05T17:15:31Z,90.90909091,UK,Female,Single (never married),Some University but no degree,No,"20,000-39,999 pounds",Student,psychology,Right,No,No,English,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,State,No,Yes,No,No,8,No,No,Yes,No,White,Psychology,UK,7.5
19180,BAC,60,1.466,1.5165333333333333,96.7741935483871,0.03225806451612905,16,8,26.666666666666668,20,2.5335,2.856,7,6,6,5.666666666666667,10,10,0.587125,0.6884375,0.6614,0.5627857142857142,100,100,93.75,87.5,0.597,0.6898571428571428,0.587125,100,87.5,100,0.7674782608695652,0.7242272727272727,0.6774583333333333,95.83333333333334,91.66666666666666,100,0.6942173913043478,0.7278695652173913,0.7450434782608696,95.83333333333334,95.83333333333334,95.83333333333334,135,108,1.6336,2.0227037037037037,84.375,0.3891037037037038,2004-01-11,20.100280655658224,UK,English,2024-02-16T15:03:36Z,58.82352941,UK,Female,Single (never married),Some University but no degree,NA,"40,000-59,999 pounds",Student,Psychology,Right,No,No,English,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,State,No,Yes,No,No,6,No,Yes,Yes,No,White,Psychology,UK,6.5
19188,CAB,58,1.51485,1.581768965517241,93.5483870967742,0.06451612903225809,26,3,43.333333333333336,40.833333333333336,2.5641499999999997,3.2121346153846155,6,5.333333333333333,6,5.333333333333333,10,10,0.5585083333333334,0.6073733333333333,0.5858687499999999,0.5670999999999999,100,93.75,100,100,0.5477125,0.6266521739130435,0.5585083333333334,100,95.83333333333334,100,0.7015181818181818,0.6332333333333333,0.5815333333333333,91.66666666666666,87.5,100,0.6081772727272727,0.6646739130434782,0.6373045454545454,91.66666666666666,95.83333333333334,91.66666666666666,123,105,1.4256626016260163,1.6901533333333334,79.16666666666666,0.2644907317073171,2004-04-21,19.820755661235328,UK,English,2024-02-15T12:44:38Z,59.88023952,UK,Female,Single (never married),Some University but no degree,No,"40,000-59,999 pounds",Student,Psychology,Right,No,No,English,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,State,No,Yes,No,No,9,No,No,No,No,White,Psychology,UK,6
19193,CAB,61,1.367,1.4878524590163935,98.38709677419357,0.01612903225806452,12,5,20,15.833333333333332,3.177,5.011416666666666,6,5.333333333333333,6,5.333333333333333,7,6.333333333333333,0.6917083333333334,0.688375,0.7079375,0.7765,100,100,100,100,0.6715833333333333,0.7769583333333333,0.6917083333333334,100,100,100,0.814,0.6898461538461539,0.8269285714285713,54.166666666666664,54.166666666666664,58.333333333333336,0.72525,NA,0.8575625,100,NA,66.66666666666666,102,123,2.8237647058823527,2.7707154471544713,78.125,-0.05304925872788146,2001-11-25,22.19734626711157,UK,English,2024-02-05T13:56:14Z,63.13131313,UK,Female,Single (never married),Vocational or Similar,No,"Less than 20,000 pounds",Student,Psychology,Right,No,No,English,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,Public,No,Yes,No,Yes,5,No,Yes,Yes,Yes,White,Psychology,UK,6
19196,ABC,62,1.77515,1.8158838709677416,100,0,20,1,33.33333333333333,32.5,3.035,4.3242,7,6.333333333333333,6,5.666666666666667,10,9.333333333333334,0.6527916666666667,0.7270125000000001,0.6102466666666667,0.6252066666666667,100,100,93.75,93.75,0.5935521739130435,0.7179260869565217,0.6527916666666667,95.83333333333334,95.83333333333334,100,0.7725083333333334,0.7914818181818182,0.6598083333333333,100,91.66666666666666,100,0.7005583333333333,0.8406227272727272,0.6867125,100,91.66666666666666,100,132,115,1.8861113636363636,2.2684365217391305,85.76388888888889,0.3823251581027669,2002-12-02,21.220216107023347,UK,English,2024-02-20T16:24:51Z,60.24096386,UK,Female,Single (never married),Some University but no degree,"Yes, mother only","20,000-39,999 pounds",Student,Psychology,Right,No,No,English,Yes,65,Spanish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,State,Yes,Yes,No,No,7.5,No,No,Yes,No,White,Psychology,UK,6.5
19199,CAB,61,1.515,1.592095081967213,98.38709677419357,0.01612903225806453,22,3,36.666666666666664,34.166666666666664,2.65975,3.035659090909091,6,5.333333333333333,5,4.666666666666667,7,6.666666666666667,0.8933,1.0803375,0.9429875,1.16150625,100,100,100,100,0.9355708333333334,1.18765,0.8933,100,100,100,0.9579791666666668,0.9763583333333332,0.8851304347826087,100,100,95.83333333333334,0.8483666666666667,1.045482608695652,0.9323,100,95.83333333333334,100,135,135,3.152331111111111,3.3704622222222222,93.75,0.21813111111111105,2002-01-26,22.030912891823203,UK,English,2024-02-06T18:58:56Z,60.24096386,UK,Female,Single (never married),Prefer not to say,"Yes, mother only","20,000-39,999 pounds",Student,Bachelors degree,Right,No,No,English,Yes,100,English,15,Spanish,NA,NA,NA,NA,NA,NA,NA,NA,English,English,State,Yes,Yes,No,Yes,7.5,No,No,Yes,No,White,Psychology,UK,5.5
19205,CAB,61,1.5723,1.7153622950819671,98.38709677419357,0.01612903225806452,17,4,28.333333333333332,25,3.3997,4.046141176470588,6,5.666666666666667,5,4.666666666666667,6,5.333333333333333,0.5148708333333334,0.5274625,0.5144733333333333,0.51208125,100,100,93.75,100,0.4894875,0.5479173913043478,0.5148708333333334,100,95.83333333333334,100,0.8461625,0.8148833333333333,0.7701260869565217,100,100,95.83333333333334,0.8053041666666667,0.8776565217391304,0.7526916666666666,100,95.83333333333334,100,140,122,2.362872142857143,3.3569639344262296,90.9722222222222,0.9940917915690868,2003-09-13,20.394183476943752,UK,English,2024-02-03T23:24:44Z,59.52380952,UK,Female,Single (never married),Some University but no degree,"Yes, father only","60,000-99,999 pounds",Student,Psychology,Right,No,No,English,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,State,No,Yes,No,Yes,6.5,No,No,Yes,Yes,White,Psychology,UK,5.5
