participant,nationality,gender,maritalstatus,eduLevel,ParentsEdu,income,employment,major,handedness,Medicalhistory,developmentHist,nativelanguage,lingualAbility,multilingual_1,multilingual_1_TEXT,multilingual_2,multilingual_2_TEXT,multilingual_3,multilingual_3_TEXT,multilingual_4,multilingual_4_TEXT,multilingual_5,multilingual_5_TEXT,multilingual_6,multilingual_6_TEXT,multilingual_7,multilingual_7_TEXT,multilingual_8,multilingual_8_TEXT,multilingual_9,multilingual_9_TEXT,multilingual_10,multilingual_10_TEXT,mathlanguage_1,multiplylanguage,schooltype_1,difficultiesmath,learnmultiplytable,peercomparison,peercomparison2,rateownfluency_1,dyslexia,mathanxious,examanxious,memory,ethnicity_value,major_relabel
8485,Malaysian,Female,Single (never married),High school degree or equivalent (e.g. GED),No,"RM 8,700 - RM 10,959",Student,psychology,Right,No,No,Mandarin,Yes,45,chinese,70,English,35,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,Yes,Yes,Yes,Yes,4.5,No,Yes,Yes,No,Chinese,Psychology
318020814820,Malaysian,Female,Single (never married),"Master's degree (e.g. MA, MS, MEd)","Yes, both parents","RM 15,039 or more",Employed part time (up to 39 hours per week),Psychology,Right,No,No,Mandarin,Yes,90,English,65,Malay,55,Hokkien,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,Yes,Yes,No,No,10,No,Yes,Yes,No,Chinese,Psychology
230068048695,Malaysian,Male,Single (never married),"Some college, no degree","Yes, both parents","RM 8,700 - RM 10,959",Student,Biotechnology,Right,No,No,English,Yes,85,Chinese,65,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,public_malay,No,Yes,No,No,10,No,No,Yes,Yes,Chinese,Biotechnology
939257332379,Malaysian,Female,Single (never married),High school degree or equivalent (e.g. GED),"Yes, both parents","Less than RM 2,500",Student,Foundation in Arts and Education,Right,No,No,English,Yes,40,Malay,5,French,55,English,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dual,Dual,private_intl,Yes,No,Yes,Yes,2,No,Yes,Yes,Yes,Indian,Education
484025127976,Malaysian,Male,Single (never married),"Master's degree (e.g. MA, MS, MEd)",No,"RM 2,500 - RM 3,169",Employed part time (up to 39 hours per week),NA,Right,No,No,Mandarin,Yes,100,English,100,Bahasa,30,Korean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,No,Yes,No,Yes,10,No,No,No,No,Chinese,NA
294874663208,Malaysian,Female,Single (never married),High school degree or equivalent (e.g. GED),"Yes, both parents","RM 7,110 - RM 8,699",Student,Applied Psychology,Right,No,No,Mandarin,Yes,75,Chinese,95,English,60,Malay,15,Hokkien,30,Japanese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,Yes,No,Yes,Yes,3.5,No,Yes,Yes,Yes,Chinese,Psychology
692323212348,Malaysian,Male,Single (never married),"Some college, no degree","Yes, both parents","RM 7,110 - RM 8,699",Student,Computer Science,Right,No,No,Mandarin,Yes,85,English,65,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,public_malay,No,Yes,No,Yes,8,No,No,Yes,No,Chinese,Computer_sc
857677498017,Malaysian,Male,Single (never married),High school degree or equivalent (e.g. GED),"Yes, both parents","RM 7,110 - RM 8,699",Student,Mechatronics engineering,Right,No,No,Mandarin,Yes,75,English,75,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,No,Yes,No,Yes,9,No,No,Yes,Yes,Chinese,Engineering
560520040965,Malaysian,Male,Single (never married),High school degree or equivalent (e.g. GED),"Yes, father only","RM 10,960 - RM 15,039",Student,Mechatronics Engineering,Right,No,No,Mandarin,Yes,90,English,30,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,No,Yes,No,No,9,No,No,Yes,Yes,Chinese,Engineering
392002593306,Malaysian,Female,Single (never married),High school degree or equivalent (e.g. GED),No,"RM 3,970 - RM 4,849",Student,Chemical Engineering,Right,No,No,Mandarin,Yes,85,English,75,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dual,Mandarin,Chinese_vernacular,No,Yes,Yes,Yes,8,No,Yes,Yes,No,Chinese,Engineering
8626,Malaysian,Male,Single (never married),High school degree or equivalent (e.g. GED),"Yes, mother only","RM 3,970 - RM 4,849",Student,Bachelors study in Psychology,Left,No,No,English,Yes,60,Chinese,80,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,private_intl,Yes,No,Yes,No,8,No,No,Yes,No,Chinese,Psychology
531380324205,Malaysian,Male,Single (never married),High school degree or equivalent (e.g. GED),"Yes, mother only","Less than RM 2,500",Student,NA,Right,No,No,Bahasa Malaysia (Northern/Central/Southern accent),Yes,80,English,80,Malay,80,Mandarin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,No,Yes,Yes,Yes,8,No,Yes,Yes,No,Chinese,NA
848199286335,Malaysian,Male,Single (never married),"Bachelor's degree (e.g. BA, BS)","Yes, mother only","RM 4,850 - RM 5,879",Student,Computer Science with AI,Left,No,No,Mandarin,Yes,50,English,50,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,public_malay,Yes,Yes,No,Yes,8,No,No,No,Yes,Chinese,Computer_sc
782138326927,Malaysian,Female,Single (never married),High school degree or equivalent (e.g. GED),"Yes, both parents","RM 15,039 or more",Student,NA,Right,No,No,English,Yes,85,English,55,Mandarin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,private_intl,No,Yes,Yes,No,8,No,No,No,No,Chinese,NA
582545690541,Malaysian,Female,Single (never married),"Bachelor's degree (e.g. BA, BS)","Yes, father only","RM 3,970 - RM 4,849",Student,psychology & meditation,Right,No,No,Mandarin,Yes,85,Mandarin,75,English,40,Malay,35,Cantonese,10,Japanese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,No,Yes,No,No,7.5,No,No,Yes,No,Chinese,Psychology
8233,Malaysian,Male,Single (never married),"Associate degree (e.g. AA, AS)","Yes, both parents","RM 5,880 - RM 7,099",Student,Bsc Psychology and Cognitive Neuroscience,Right,No,No,Mandarin,Yes,70,English,60,Malay,60,Hokkien,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,Chinese_vernacular,No,Yes,No,No,8,No,No,No,Yes,Chinese,Psychology
181625310168,Malaysian,Male,Single (never married),High school degree or equivalent (e.g. GED),No,"RM 7,110 - RM 8,699",Student,Chemical and Environmental Engineering,Right,No,No,Mandarin,Yes,85,English,60,Malay,20,Japanese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dual,Mandarin,Chinese_vernacular,Yes,Yes,No,Yes,10,No,Yes,Yes,No,Chinese,Engineering
678536750213,Malaysian,Female,Single (never married),"Some college, no degree","Yes, both parents","RM 15,039 or more",Student,"Finance, Accounting and Management",Right,No,No,Mandarin,Yes,85,English,65,Mandarin,60,Bahasa Melayu,35,Hokkien,20,Cantonese,50,Korean,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,No,Yes,Yes,No,10,No,No,Yes,Yes,Chinese,Finance
432842227956,Malaysian,Female,Single (never married),High school degree or equivalent (e.g. GED),"Yes, both parents","RM 15,039 or more",Student,NA,Right,No,No,English,Yes,80,English,65,Mandarin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,private_intl,No,Yes,No,No,9,No,No,No,No,Chinese,NA
8596,Malaysian,Female,Single (never married),"Bachelor's degree (e.g. BA, BS)","Yes, both parents","RM 15,039 or more",Student,psychology and cognitive neuroscience,Right,No,No,Bahasa Malaysia (Northern/Central/Southern accent),Yes,100,english,65,malay,75,french,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,private_intl,No,Yes,No,No,9.5,No,No,Yes,No,Malay,Psychology
8506,Malaysian,Male,Single (never married),"Some college, no degree","Yes, father only","RM 15,039 or more",Student,Psychology and Cognitive Neuroscience,Right,No,No,Mandarin,Yes,95,Mandarin,85,English,75,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,No,Yes,Yes,No,8,No,No,Yes,No,Chinese,Psychology
771719516720,Malaysian,Female,Single (never married),"Associate degree (e.g. AA, AS)","Yes, both parents","RM 15,039 or more",Student,bioscience nutrition,Right,No,No,Mandarin,Yes,70,English,50,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,public_malay,Yes,Yes,No,Yes,7.5,No,Yes,Yes,No,Chinese,Biomedical
8251,Malaysian,Female,Single (never married),"Some college, no degree","Yes, mother only","RM 8,700 - RM 10,959",Student,BSc (Hons) Psychology and Cognitive Neuroscience,Right,No,No,Cantonese,Yes,60,Cantonese,70,Chinese,85,English,60,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dual,Mandarin,Chinese_vernacular,No,Yes,No,No,7.5,No,Yes,Yes,Yes,Chinese,Psychology
231023528450,Malaysian,Female,Single (never married),"Some college, no degree","Yes, both parents","RM 8,700 - RM 10,959",Student,Pharmacy,Right,No,No,Mandarin,Yes,70,Chinese,70,English,65,Malay,30,Cantonse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,private_intl,Yes,Yes,Yes,Yes,5,No,Yes,Yes,Yes,Chinese,Pharmacy
660707651334,Malaysian,Female,Single (never married),High school degree or equivalent (e.g. GED),"Yes, both parents","RM 8,700 - RM 10,959",Student,BSc Hons Computer Science with AI,Right,No,No,Mandarin,Yes,85,English,10,Bahasa Mealy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,public_malay,No,Yes,No,Yes,6,No,No,Yes,Yes,Chinese,Computer_sc
191352558881,Malaysian,Female,Single (never married),High school degree or equivalent (e.g. GED),"Yes, both parents","RM 8,700 - RM 10,959",Student,BSc Hons Computer Science with AI,Right,No,No,Mandarin,Yes,85,English,10,BM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,public_malay,No,Yes,No,Yes,6,No,No,Yes,Yes,Chinese,Computer_sc
483748594322,Malaysian,Female,Single (never married),"Some college, no degree","Yes, both parents","RM 15,039 or more",Student,Ba International Communication Studies,Right,No,No,English,Yes,15,Malay,30,Japanese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,private_intl,Yes,Yes,No,Yes,8,No,Yes,Yes,No,Chinese,Arts_communication
798938289447,Malaysian,Female,Single (never married),"Some college, no degree","Yes, both parents","RM 10,960 - RM 15,039",Student,Mechanical engineering,Right,No,No,Mandarin,Yes,75,English,85,Cantonese,55,Malay,25,Korean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,No,Yes,No,No,10,No,No,No,Yes,Chinese,Engineering
957558488938,Malaysian,Female,Single (never married),"Bachelor's degree (e.g. BA, BS)","Yes, mother only","RM 8,700 - RM 10,959",Student,Nutrition,Right,No,No,Mandarin,Yes,80,English,90,Chinese,70,Malay,80,Hokkien,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,public_malay,No,Yes,No,No,6,No,No,Yes,Yes,Chinese,Nutrition
8242,Malaysian,Female,Single (never married),"Bachelor's degree (e.g. BA, BS)","Yes, both parents","RM 7,110 - RM 8,699",Student,Psychology,Right,No,No,Mandarin,Yes,80,English,70,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,No,Yes,Yes,Yes,10,No,Yes,Yes,Yes,Chinese,Psychology
680926629039,Malaysian,Female,Single (never married),"Bachelor's degree (e.g. BA, BS)","Yes, both parents","RM 10,960 - RM 15,039",Student,Biology and Biochemistry (PhD),Right,No,No,English,Yes,60,Malay,45,Spanish,10,Chinese (Mandarin),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,private_intl,No,Yes,No,Yes,7,No,No,Yes,No,Malay,Biomedical
182406220026,Malaysian,Female,Single (never married),"Some college, no degree",NA,NA,Student,"BSc Finance, Accounting and Management",Right,No,No,Mandarin,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,Finance
8497,Malaysian,Male,Single (never married),"Associate degree (e.g. AA, AS)","Yes, both parents","RM 15,039 or more",Student,Psychology,Right,No,No,Bahasa Malaysia (Northern/Central/Southern accent),Yes,100,English,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Malay,Malay,public_malay,Yes,Yes,No,Yes,6.5,No,Yes,Yes,No,Malay,Psychology
8665,Malaysian,Non-binary/ third gender,Single (never married),High school degree or equivalent (e.g. GED),"Yes, both parents","RM 4,850 - RM 5,879",Student,Psychology,Right,No,No,Bahasa Malaysia (Northern/Central/Southern accent),Yes,95,english,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dual,Dual,public_malay,Yes,Yes,No,Yes,7,No,Yes,Yes,No,Malay,Psychology
277529272856,Malaysian,Female,Single (never married),"Bachelor's degree (e.g. BA, BS)","Yes, both parents","RM 8,700 - RM 10,959",Student,Psychology & Cognitive Neuroscience,Right,Yes,Yes,Mandarin,Yes,85,English,45,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,public_malay,No,Yes,No,No,8.5,No,Yes,Yes,No,Chinese,Psychology
8875,Malaysian,Female,Single (never married),"Some college, no degree","Yes, both parents","RM 15,039 or more",Student,BSc Psychology and Cognitive Neuroscience,Right,No,No,Bahasa Malaysia (Northern/Central/Southern accent),Yes,80,English,25,Arabic,55,Indonesian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Malay,Malay,Chinese_vernacular,Yes,No,No,Yes,7.5,No,No,Yes,Yes,Malay,Psychology
8803,Malaysian,Male,Single (never married),High school degree or equivalent (e.g. GED),"Yes, both parents","RM 10,960 - RM 15,039",Student,Psychology,Right,No,No,English,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,private_intl,Yes,Yes,No,Yes,9,No,Yes,Yes,No,Chinese,Psychology
8863,Malaysian,Female,Single (never married),"Some college, no degree","Yes, both parents","RM 5,880 - RM 7,099",Student,psychology,Right,No,No,Mandarin,Yes,80,English,50,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,No,Yes,No,Yes,9,No,Yes,Yes,No,Chinese,Psychology
8935,Malaysian,Female,Single (never married),"Some college, no degree",No,"RM 7,110 - RM 8,699",Student,psychology,Right,No,No,English,Yes,85,chinese,50,malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,No,Yes,No,Yes,7,No,No,Yes,No,Chinese,Psychology
8815,Malaysian,Female,Single (never married),"Some college, no degree","Yes, both parents","RM 10,960 - RM 15,039",Unemployed not currently looking for work,Psychology BSc,Right,No,No,English,Yes,65,mandarin,70,malay,35,hokkien,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,Yes,Yes,No,No,8,No,No,Yes,Yes,Chinese,Psychology
8812,Malaysian,Female,Single (never married),"Some college, no degree","Yes, both parents","RM 8,700 - RM 10,959",Student,Psychology,Right,No,No,Mandarin,Yes,90,English,70,Bahasa Melayu,80,Cantonese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,public_malay,Yes,Yes,No,No,9.5,No,Yes,Yes,No,Chinese,Psychology
8767,Malaysian,Female,Single (never married),"Some college, no degree","Yes, both parents","RM 15,039 or more",Student,Psychology and Cognitive Neuroscience,Right,No,No,Bahasa Malaysia (Northern/Central/Southern accent),Yes,100,Malay,90,English,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Malay,English,private_intl,Yes,Yes,No,Yes,6,No,Yes,Yes,Yes,Malay,Psychology
8857,Malaysian,Female,Single (never married),High school degree or equivalent (e.g. GED),"Yes, mother only","RM 15,039 or more",Student,Psychology and Cognitive Neuroscience,Right,No,No,English,Yes,85,English,30,Chinese (Mandarin),30,Cantonese,40,Bahasa Melayu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,Yes,Yes,Yes,Yes,7,No,Yes,Yes,Yes,Chinese,Psychology
8791,Malaysian,Female,Single (never married),High school degree or equivalent (e.g. GED),"Yes, father only","RM 10,960 - RM 15,039",Student,Year 1 Psychology!,Right,No,No,English,Yes,100,English,100,Bahasa Melayu,100,Mandarin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,Yes,Yes,Yes,Yes,8,No,Yes,Yes,Yes,Chinese,Psychology
8515,Malaysian,Female,Single (never married),"Bachelor's degree (e.g. BA, BS)",No,"RM 5,880 - RM 7,099",Student,Psychology,Right,No,No,Mandarin,Yes,50,English,40,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,public_malay,Yes,Yes,No,Yes,8,No,Yes,Yes,Yes,Chinese,Psychology
675296385237,Malaysian,Male,Single (never married),"Bachelor's degree (e.g. BA, BS)",No,"RM 7,110 - RM 8,699",Employed full time (40 or more hours per week),NA,Left,No,No,English,Yes,75,English,65,Mandarin,70,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,No,Yes,No,No,6,No,No,Yes,No,Chinese,NA
414654074748,Malaysian,Female,Single (never married),"Some college, no degree",NA,"RM 3,170 - RM 3,969",Student,Software Engineering,Left,No,No,Mandarin,Yes,75,English,50,Malay,25,Cantonese,50,Teochew,50,Hokkien,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,Yes,Yes,Yes,Yes,8,No,Yes,Yes,Yes,Chinese,Engineering
730858445772,Malaysian,Female,Single (never married),"Bachelor's degree (e.g. BA, BS)",No,"RM 7,110 - RM 8,699",Employed full time (40 or more hours per week),NA,Right,No,No,Mandarin,Yes,90,Mandarin,75,English,20,Bahasa Malaysia,50,Hokkien,50,Teochew,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,No,Yes,No,No,9.5,No,No,No,Yes,Chinese,NA
501104472111,Malaysian,Female,Single (never married),"Bachelor's degree (e.g. BA, BS)","Yes, both parents","RM 8,700 - RM 10,959",Employed full time (40 or more hours per week),NA,Right,No,No,Mandarin,Yes,80,English,65,Bahasa Malaysia,50,Japanese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,public_malay,Yes,Yes,No,No,9,No,Yes,Yes,No,Chinese,NA
697608015709,Malaysian,Male,Single (never married),"Bachelor's degree (e.g. BA, BS)",No,"RM 8,700 - RM 10,959",Unemployed and currently looking for work,NA,Right,No,No,Mandarin,Yes,60,English,70,Malay,20,Japanese,20,Hokkien,25,Teo Chew,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,Chinese_vernacular,No,Yes,Yes,Yes,9,No,No,Yes,Yes,Chinese,NA
8833,Malaysian,Male,Single (never married),High school degree or equivalent (e.g. GED),"Yes, father only","RM 5,880 - RM 7,099",Student,Psychology and Cognitive Neuroscience,Right,No,No,Mandarin,Yes,95,Mandarin,65,English,40,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,No,Yes,Yes,No,9.5,No,No,Yes,No,Chinese,Psychology
8866,Malaysian,Female,Single (never married),"Some college, no degree","Yes, both parents","RM 2,500 - RM 3,169",Student,PSYCHOLOGY,Right,No,No,Mandarin,Yes,60,ENGLISH,60,BAHASA MALAYSIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,No,Yes,No,No,6,No,No,Yes,Yes,Chinese,Psychology
8800,Malaysian,Female,Single (never married),High school degree or equivalent (e.g. GED),NA,"RM 15,039 or more",Student,BSc Psychology,Right,No,No,Mandarin,Yes,100,English,50,Malay,55,Korean,45,Hokkien,50,Cantonese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,Yes,Yes,No,Yes,8,No,No,Yes,No,Chinese,Psychology
8827,Malaysian,Female,Single (never married),"Some college, no degree","Yes, father only","RM 15,039 or more",Student,Psychology in cognitive and neuroscience,Right,No,No,Mandarin,Yes,100,Mandarin,100,English,100,Bahasa melayu,25,Cantonese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,No,Yes,No,No,7,No,No,Yes,Yes,Chinese,Psychology
8887,Malaysian,Male,Single (never married),"Some college, no degree","Yes, father only","RM 15,039 or more",Student,BSc Hons Psychology Cognitive and Neuroscience,Left,No,No,Mandarin,Yes,100,English,60,Bahasa Malaysia,30,Thai,20,Korean,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,Mandarin,private_intl,No,Yes,No,No,10,No,No,Yes,Yes,Chinese,Psychology
8845,Malaysian,Female,Single (never married),"Some college, no degree",No,"RM 7,110 - RM 8,699",Student,Bachelor of Psychology (Hons),Right,No,No,Mandarin,Yes,90,English,60,Malay,30,Cantonese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,public_malay,No,Yes,Yes,Yes,8,No,Yes,Yes,No,Chinese,Psychology
